Haplo,Appalachiana,Gigantea,Hybrid,Tecta,Unknown,Grand Total,pApp,pGig,pHyb,pTec,pUnk
LFY_Haplo61,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo62,1,,,,,1,1.00,0.00,0.00,0.00,0.00
LFY_Haplo63,,9,,,,9,0.00,1.00,0.00,0.00,0.00
LFY_Haplo64,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo65,,,,1,,1,0.00,0.00,0.00,1.00,0.00
LFY_Haplo66,,,,1,,1,0.00,0.00,0.00,1.00,0.00
LFY_Haplo67,,2,,,,2,0.00,1.00,0.00,0.00,0.00
LFY_Haplo68,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo69,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo7,,,,,2,2,0.00,0.00,0.00,0.00,1.00
LFY_Haplo70,,2,,,,2,0.00,1.00,0.00,0.00,0.00
LFY_Haplo71,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo72,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo73,2,,,,,2,1.00,0.00,0.00,0.00,0.00
LFY_Haplo74,1,,,,,1,1.00,0.00,0.00,0.00,0.00
LFY_Haplo75,,2,,,,2,0.00,1.00,0.00,0.00,0.00
LFY_Haplo76,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo77,1,,,,,1,1.00,0.00,0.00,0.00,0.00
LFY_Haplo78,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo79,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo8,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo80,1,,,,,1,1.00,0.00,0.00,0.00,0.00
LFY_Haplo81,1,,,,,1,1.00,0.00,0.00,0.00,0.00
LFY_Haplo82,2,,,,,2,1.00,0.00,0.00,0.00,0.00
LFY_Haplo83,2,,,,,2,1.00,0.00,0.00,0.00,0.00
LFY_Haplo84,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo85,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo86,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo87,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo88,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo89,,,,1,,1,0.00,0.00,0.00,1.00,0.00
LFY_Haplo9,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo90,,,,1,,1,0.00,0.00,0.00,1.00,0.00
LFY_Haplo91,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo92,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Pedulis,,,,,,1,0.00,0.00,0.00,0.00,0.00
WXY_Aapp,1,,,,,1,1.00,0.00,0.00,0.00,0.00
WXY_Agig,,1,,,,1,0.00,1.00,0.00,0.00,0.00
WXY_Atecta,,,4,3,,7,0.00,0.00,0.57,0.43,0.00
WXY_Haplo1,,18,4,,,22,0.00,0.82,0.18,0.00,0.00
WXY_Haplo10,13,,,1,,14,0.93,0.00,0.00,0.07,0.00
WXY_Haplo11,2,,,,,2,1.00,0.00,0.00,0.00,0.00
WXY_Haplo12,1,,,,,1,1.00,0.00,0.00,0.00,0.00
WXY_Haplo13,,,2,1,,3,0.00,0.00,0.67,0.33,0.00
WXY_Haplo14,,,1,,,1,0.00,0.00,1.00,0.00,0.00
WXY_Haplo15,1,,,,,1,1.00,0.00,0.00,0.00,0.00
WXY_Haplo16,,,1,,,1,0.00,0.00,1.00,0.00,0.00
WXY_Haplo17,2,,,,,2,1.00,0.00,0.00,0.00,0.00
WXY_Haplo18,2,,,,,2,1.00,0.00,0.00,0.00,0.00
WXY_Haplo19,1,,2,,,3,0.33,0.00,0.67,0.00,0.00
WXY_Haplo2,,14,,,24,38,0.00,0.37,0.00,0.00,0.63
WXY_Haplo20,,,1,,,1,0.00,0.00,1.00,0.00,0.00
WXY_Haplo21,,,,2,,2,0.00,0.00,0.00,1.00,0.00
WXY_Haplo22,,,2,,,2,0.00,0.00,1.00,0.00,0.00
WXY_Haplo23,,,,1,,1,0.00,0.00,0.00,1.00,0.00
WXY_Haplo24,,,1,,,1,0.00,0.00,1.00,0.00,0.00
WXY_Haplo3,,10,,,,10,0.00,1.00,0.00,0.00,0.00
WXY_Haplo4,,,,,1,1,0.00,0.00,0.00,0.00,1.00
WXY_Haplo5,,,,,1,1,0.00,0.00,0.00,0.00,1.00
WXY_Haplo6,,,,2,25,27,0.00,0.00,0.00,0.07,0.93
WXY_Haplo7,,,,2,,2,0.00,0.00,0.00,1.00,0.00
WXY_Haplo8,,,,1,,1,0.00,0.00,0.00,1.00,0.00
WXY_Haplo9,,,,,1,1,0.00,0.00,0.00,0.00,1.00
WXY_Pedulis,,,,,,1,0.00,0.00,0.00,0.00,0.00
